1,东区2号门,825,666,800,854,638,694
2,东大活,546,621,519,571,594,648
3,燕宏桥,722,480,693,749,454,510
4,燕大小区,913,559,886,942,531,587
5,信息馆,834,419,808,862,390,447
6,第二体育场,1000,439,973,1028,409,466
7,1号门,611,684,583,639,656,711
8,世纪楼图书馆,619,577,593,647,548,606
9,第一体育场,493,665,469,520,634,692
10,雁鸣湖食堂,439,568,413,467,541,597
11,西区大门,117,507,90,144,480,534
12,里仁学院,267,428,242,292,403,452
13,12345组团,73,410,46,96,385,437
14,西区大食堂,178,306,151,204,279,332
15,11组团,156,149,130,183,122,175
16,广源超市,63,227,37,90,198,251
17,燕园,231,165,204,258,138,192
18,西区教学楼,406,244,379,433,217,271
19,塔山,564,359,536,591,330,387
20,西五教学楼,433,105,406,460,78,132
21,第四体育场,240,43,213,267,16,70
22,西大活,319,499,292,346,472,526
